t_s,x,y
0.025,0.54140625,0.5260416666666666
0.175,0.5828125,0.525
0.325,0.628125,0.5375
0.475,0.65,0.56875
0.625,0.63515625,0.6041666666666666
0.775,0.5953125,0.6072916666666667
0.925,0.54765625,0.5979166666666667
1.075,0.5390625,0.5625
1.225,0.55390625,0.540625
1.375,0.58828125,0.5416666666666666
1.525,0.62890625,0.55625
1.675,0.6359375,0.5864583333333333
1.825,0.61015625,0.6145833333333334
1.975,0.56484375,0.6041666666666666
2.125,0.53125,0.578125
2.275,0.52578125,0.546875
2.425,0.54453125,0.5322916666666667
2.575,0.590625,0.528125
2.725,0.628125,0.54375
2.875,0.64375,0.578125
3.025,0.6234375,0.6020833333333333
3.175,0.58203125,0.6104166666666667
3.325,0.54296875,0.584375
3.475,0.53671875,0.5604166666666667
3.625,0.56328125,0.5479166666666667
3.775,0.60234375,0.546875
3.925,0.6328125,0.5625
4.075,0.64296875,0.5916666666666667
4.225,0.61328125,0.6166666666666667
4.375,0.56875,0.6041666666666666
4.525,0.5296875,0.5770833333333333
4.675,0.5265625,0.54375
4.825,0.55078125,0.5291666666666667
4.975,0.59453125,0.5385416666666667
5.125,0.63125,0.5520833333333334
5.275,0.63671875,0.58125
5.425,0.6078125,0.6125
5.575,0.56484375,0.60625
5.725,0.534375,0.5739583333333333
5.875,0.5421875,0.5458333333333333
6.025,0.56796875,0.534375
6.175,0.6140625,0.54375
6.325,0.63984375,0.5645833333333333
6.475,0.64375,0.5958333333333333
6.625,0.6125,0.615625
6.775,0.559375,0.6125
6.925,0.5265625,0.58125
7.075,0.52734375,0.5489583333333333
7.225,0.55703125,0.5385416666666667
7.375,0.59921875,0.54375
7.525,0.63203125,0.5614583333333333
7.675,0.634375,0.5885416666666666
7.825,0.60234375,0.6114583333333333
7.975,0.56015625,0.603125
8.125,0.5328125,0.56875
8.275,0.540625,0.54375
8.425,0.575,0.534375
8.575,0.6171875,0.546875
8.725,0.6421875,0.5666666666666667
8.875,0.640625,0.5989583333333334
9.025,0.6046875,0.6197916666666666
9.175,0.55703125,0.60625
9.325,0.53125,0.5739583333333333
9.475,0.5328125,0.5520833333333334
9.625,0.5703125,0.5416666666666666
9.775,0.61015625,0.5510416666666667
9.925,0.63671875,0.56875
10.075,0.6296875,0.5979166666666667
10.225,0.59375,0.6135416666666667
10.375,0.55,0.5979166666666667
10.525,0.5296875,0.5635416666666667
10.675,0.54140625,0.5416666666666666
10.825,0.575,0.5333333333333333
10.975,0.6203125,0.54375
11.125,0.64609375,0.5645833333333333
11.275,0.640625,0.596875
11.425,0.6015625,0.6135416666666667
11.575,0.55703125,0.6052083333333333
11.725,0.534375,0.5645833333333333
11.875,0.54375,0.5520833333333334
12.025,0.57578125,0.54375
12.175,0.615625,0.5541666666666667
12.325,0.6390625,0.5708333333333333
12.475,0.621875,0.6083333333333333
12.625,0.5796875,0.6135416666666667
12.775,0.5375,0.5895833333333333
12.925,0.521875,0.5552083333333333
13.075,0.5421875,0.5375
13.225,0.58125,0.5354166666666667
13.375,0.625,0.5479166666666667
13.525,0.64609375,0.5677083333333334
13.675,0.6375,0.596875
13.825,0.59765625,0.6135416666666667
13.975,0.55,0.6020833333333333
14.125,0.53359375,0.565625
14.275,0.54609375,0.5479166666666667
14.425,0.58125,0.5395833333333333
14.575,0.62265625,0.5520833333333334
14.725,0.6421875,0.5739583333333333
14.875,0.62421875,0.6083333333333333
15.025,0.5796875,0.6125
15.175,0.5390625,0.590625
15.325,0.5234375,0.5572916666666666
15.475,0.54375,0.5395833333333333
15.625,0.58046875,0.5354166666666667
15.775,0.62265625,0.5489583333333333
15.925,0.64453125,0.5708333333333333
16.075,0.63359375,0.59375
16.225,0.5875,0.6125
16.375,0.546875,0.5927083333333333
16.525,0.53671875,0.5552083333333333
16.675,0.55859375,0.5395833333333333
16.825,0.59765625,0.5458333333333333
16.975,0.6328125,0.5583333333333333
17.125,0.6421875,0.5864583333333333
17.275,0.61953125,0.6104166666666667
17.425,0.571875,0.6104166666666667
17.575,0.5359375,0.578125
17.725,0.525,0.55625
17.875,0.54609375,0.5385416666666667
18.025,0.5875,0.5375
18.175,0.62734375,0.55
18.325,0.64296875,0.5770833333333333
18.475,0.621875,0.6041666666666666
18.625,0.5828125,0.609375
18.775,0.54296875,0.5895833333333333
18.925,0.534375,0.5541666666666667
19.075,0.5640625,0.540625
19.225,0.6015625,0.5395833333333333
19.375,0.6375,0.5614583333333333
19.525,0.64453125,0.584375
19.675,0.621875,0.6145833333333334
19.825,0.5734375,0.6083333333333333
19.975,0.53359375,0.5791666666666667
20.125,0.5234375,0.5520833333333334
20.275,0.54453125,0.5427083333333333
20.425,0.58359375,0.5395833333333333
20.575,0.621875,0.5510416666666667
20.725,0.6359375,0.5760416666666667
20.875,0.61015625,0.6135416666666667
21.025,0.56953125,0.6072916666666667
21.175,0.54140625,0.575
21.325,0.5375,0.55
21.475,0.56640625,0.5395833333333333
21.625,0.61015625,0.5489583333333333
21.775,0.64375,0.56875
21.925,0.6484375,0.575
22.075,0.62421875,0.609375
22.225,0.57265625,0.6104166666666667
22.375,0.5359375,0.578125
22.525,0.5328125,0.5520833333333334
22.675,0.55859375,0.5395833333333333
22.825,0.59921875,0.54375
22.975,0.6296875,0.553125
23.125,0.6328125,0.5802083333333333
23.275,0.5984375,0.6104166666666667
23.425,0.55390625,0.5979166666666667
23.575,0.5328125,0.565625
23.725,0.5375,0.5458333333333333
23.875,0.5765625,0.540625
24.025,0.61796875,0.55
24.175,0.646875,0.5729166666666666
24.325,0.646875,0.584375
24.475,0.61796875,0.6125
24.625,0.565625,0.6072916666666667
24.775,0.53671875,0.5770833333333333
24.925,0.54140625,0.5447916666666667
25.075,0.5671875,0.54375
25.225,0.60703125,0.5416666666666666
25.375,0.63671875,0.578125
25.525,0.6328125,0.5979166666666667
25.675,0.59609375,0.6114583333333333
25.825,0.546875,0.5979166666666667
25.975,0.5203125,0.5697916666666667
26.125,0.534375,0.5458333333333333
26.275,0.56640625,0.5322916666666667
26.425,0.61328125,0.5447916666666667
26.575,0.64453125,0.571875
26.725,0.64609375,0.584375
26.875,0.61171875,0.6104166666666667
27.025,0.56328125,0.6041666666666666
27.175,0.5375,0.56875
27.325,0.54921875,0.546875
27.475,0.5796875,0.5416666666666666
27.625,0.61875,0.55
27.775,0.640625,0.5760416666666667
27.925,0.63125,0.5958333333333333
28.075,0.58984375,0.6104166666666667
28.225,0.53984375,0.5885416666666666
28.375,0.51875,0.5645833333333333
28.525,0.5359375,0.5458333333333333
28.675,0.571875,0.5333333333333333
28.825,0.61640625,0.54375
28.975,0.6390625,0.565625
29.125,0.63125,0.5958333333333333
29.275,0.59140625,0.6104166666666667
29.425,0.5515625,0.5947916666666667
29.575,0.540625,0.5635416666666667
29.725,0.55859375,0.546875
29.875,0.59609375,0.5416666666666666
30.025,0.63046875,0.5572916666666666
