t_s,x,y
0.01,0.43125,0.4239583333333333
0.11,0.5234375,0.44166666666666665
0.21,0.61328125,0.44166666666666665
0.31,0.66953125,0.43645833333333334
0.41,0.66953125,0.43645833333333334
0.51,0.61328125,0.44166666666666665
0.61,0.51640625,0.4427083333333333
0.71,0.40859375,0.42291666666666666
0.81,0.33046875,0.3927083333333333
0.91,0.290625,0.375
1.01,0.296875,0.3770833333333333
1.11,0.34609375,0.39479166666666665
1.21,0.43125,0.4114583333333333
1.31,0.53359375,0.43645833333333334
1.41,0.6265625,0.4395833333333333
1.51,0.678125,0.428125
1.61,0.671875,0.4322916666666667
1.71,0.61015625,0.4375
1.81,0.50546875,0.43020833333333336
1.91,0.3921875,0.40729166666666666
2.01,0.3125,0.3802083333333333
2.11,0.27578125,0.3697916666666667
2.21,0.28515625,0.3729166666666667
2.31,0.3390625,0.38229166666666664
2.41,0.43125,0.4083333333333333
2.51,0.5390625,0.425
2.61,0.634375,0.41770833333333335
2.71,0.68203125,0.40625
2.81,0.67421875,0.409375
2.91,0.60546875,0.4197916666666667
3.01,0.4984375,0.41354166666666664
3.11,0.38359375,0.390625
3.21,0.3,0.365625
3.31,0.26796875,0.353125
3.41,0.2828125,0.35625
3.51,0.3421875,0.37395833333333334
3.61,0.4359375,0.396875
3.71,0.55234375,0.41458333333333336
3.81,0.64375,0.415625
3.91,0.684375,0.4114583333333333
4.01,0.6640625,0.41458333333333336
4.11,0.5875,0.4197916666666667
4.21,0.475,0.41041666666666665
4.31,0.3671875,0.39479166666666665
4.41,0.29296875,0.3625
4.51,0.26875,0.35520833333333335
4.61,0.28984375,0.3614583333333333
4.71,0.3578125,0.38125
4.81,0.4609375,0.40520833333333334
4.91,0.575,0.4166666666666667
5.01,0.6578125,0.41041666666666665
5.11,0.684375,0.40625
5.21,0.65078125,0.4114583333333333
5.31,0.5640625,0.41770833333333335
5.41,0.4515625,0.4083333333333333
5.51,0.34921875,0.38229166666666664
5.61,0.2921875,0.3614583333333333
5.71,0.2703125,0.35208333333333336
5.81,0.30234375,0.3614583333333333
5.91,0.38046875,0.3802083333333333
6.01,0.4859375,0.40208333333333335
6.11,0.5921875,0.41354166666666664
6.21,0.6640625,0.40729166666666666
6.31,0.67578125,0.4041666666666667
6.41,0.625,0.4125
6.51,0.53515625,0.4114583333333333
6.61,0.41796875,0.39479166666666665
6.71,0.3265625,0.3697916666666667
6.81,0.2703125,0.35104166666666664
6.91,0.26796875,0.34791666666666665
7.01,0.31171875,0.3614583333333333
7.11,0.4015625,0.38229166666666664
7.21,0.5140625,0.39895833333333336
7.31,0.61796875,0.40729166666666666
7.41,0.678125,0.4041666666666667
7.51,0.6796875,0.39895833333333336
7.61,0.6171875,0.40729166666666666
7.71,0.52421875,0.4041666666666667
7.81,0.409375,0.38958333333333334
7.91,0.3140625,0.3697916666666667
8.01,0.2734375,0.35
8.11,0.271875,0.35
8.21,0.31875,0.36770833333333336
8.31,0.4078125,0.38229166666666664
8.41,0.515625,0.40729166666666666
8.51,0.609375,0.428125
8.61,0.659375,0.4197916666666667
8.71,0.646875,0.428125
8.81,0.5890625,0.4322916666666667
8.91,0.490625,0.428125
9.01,0.3828125,0.40625
9.11,0.29921875,0.37916666666666665
9.21,0.26484375,0.3614583333333333
9.31,0.2734375,0.3625
9.41,0.3328125,0.3885416666666667
9.51,0.42421875,0.40625
9.61,0.5421875,0.4239583333333333
9.71,0.6328125,0.42916666666666664
9.81,0.6765625,0.42291666666666666
9.91,0.65,0.42916666666666664
10.01,0.56875,0.43333333333333335
10.11,0.45703125,0.428125
10.21,0.34921875,0.39895833333333336
10.31,0.275,0.37083333333333335
10.41,0.253125,0.35
10.51,0.27890625,0.36041666666666666
10.61,0.34296875,0.37916666666666665
10.71,0.4453125,0.4010416666666667
10.81,0.5578125,0.409375
10.91,0.6296875,0.40729166666666666
11.01,0.65234375,0.40729166666666666
11.11,0.60546875,0.4114583333333333
11.21,0.5203125,0.40729166666666666
11.31,0.41171875,0.39166666666666666
11.41,0.3203125,0.365625
11.51,0.2625,0.34270833333333334
11.61,0.2546875,0.3375
11.71,0.2921875,0.35625
11.81,0.36796875,0.3770833333333333
11.91,0.46875,0.39375
12.01,0.57421875,0.40729166666666666
12.11,0.63515625,0.4
12.21,0.63984375,0.39895833333333336
12.31,0.584375,0.4041666666666667
12.41,0.49765625,0.39895833333333336
12.51,0.3859375,0.3770833333333333
12.61,0.3,0.3489583333333333
12.71,0.25703125,0.325
12.81,0.25703125,0.325
12.91,0.3015625,0.34270833333333334
13.01,0.3890625,0.36770833333333336
13.11,0.496875,0.3875
13.21,0.58671875,0.39895833333333336
13.31,0.63125,0.39791666666666664
13.41,0.61484375,0.4010416666666667
13.51,0.5515625,0.39895833333333336
13.61,0.4515625,0.3927083333333333
13.71,0.35390625,0.3729166666666667
13.81,0.28515625,0.346875
13.91,0.25546875,0.33229166666666665
14.01,0.26953125,0.33645833333333336
14.11,0.31875,0.359375
14.21,0.41953125,0.3854166666666667
14.31,0.525,0.40520833333333334
14.41,0.603125,0.40729166666666666
14.51,0.6359375,0.4041666666666667
14.61,0.5984375,0.4041666666666667
14.71,0.52734375,0.40625
14.81,0.425,0.3854166666666667
14.91,0.33515625,0.365625
15.01,0.275,0.34375
15.11,0.259375,0.3375
15.21,0.27890625,0.3385416666666667
15.31,0.3453125,0.37083333333333335
15.41,0.4421875,0.390625
15.51,0.5390625,0.40625
15.61,0.6109375,0.4041666666666667
15.71,0.6265625,0.403125
15.81,0.5859375,0.40729166666666666
15.91,0.5125,0.4041666666666667
16.01,0.41953125,0.39375
16.11,0.33359375,0.3697916666666667
16.21,0.28515625,0.3489583333333333
16.31,0.275,0.34270833333333334
16.41,0.31015625,0.35625
16.51,0.3796875,0.3802083333333333
16.61,0.4734375,0.39479166666666665
16.71,0.5703125,0.41354166666666664
16.81,0.63125,0.415625
16.91,0.6328125,0.41354166666666664
17.01,0.58359375,0.415625
17.11,0.4984375,0.4125
17.21,0.4015625,0.3958333333333333
17.31,0.328125,0.3770833333333333
17.41,0.2859375,0.35833333333333334
17.51,0.2859375,0.35833333333333334
17.61,0.32734375,0.3697916666666667
17.71,0.409375,0.3875
17.81,0.50546875,0.40208333333333335
17.91,0.59375,0.4114583333333333
18.01,0.64375,0.4125
18.11,0.63671875,0.415625
18.21,0.57578125,0.41875
18.31,0.4828125,0.4197916666666667
18.41,0.37578125,0.396875
18.51,0.2984375,0.36875
18.61,0.26328125,0.3458333333333333
18.71,0.278125,0.35104166666666664
18.81,0.3265625,0.375
18.91,0.421875,0.39479166666666665
19.01,0.5296875,0.40625
19.11,0.62578125,0.41770833333333335
19.21,0.6671875,0.40729166666666666
19.31,0.64296875,0.41458333333333336
19.41,0.5796875,0.421875
19.51,0.475,0.415625
19.61,0.3734375,0.3927083333333333
19.71,0.3078125,0.36666666666666664
19.81,0.27890625,0.35520833333333335
19.91,0.2953125,0.36354166666666665
20.01,0.35625,0.38229166666666664
20.11,0.45078125,0.403125
20.21,0.5484375,0.41354166666666664
20.31,0.6265625,0.4197916666666667
20.41,0.65,0.4197916666666667
20.51,0.61953125,0.4270833333333333
20.61,0.540625,0.42916666666666664
20.71,0.4421875,0.41770833333333335
20.81,0.35390625,0.39895833333333336
20.91,0.29140625,0.3770833333333333
21.01,0.28046875,0.37083333333333335
21.11,0.31015625,0.3770833333333333
21.21,0.3796875,0.3958333333333333
21.31,0.47890625,0.4166666666666667
21.41,0.571875,0.421875
21.51,0.64765625,0.421875
21.61,0.65859375,0.4239583333333333
21.71,0.615625,0.43020833333333336
21.81,0.5296875,0.43854166666666666
21.91,0.4265625,0.41458333333333336
22.01,0.3421875,0.3854166666666667
22.11,0.28359375,0.3614583333333333
22.21,0.28125,0.3572916666666667
22.31,0.3203125,0.36770833333333336
22.41,0.3984375,0.40208333333333335
22.51,0.503125,0.4197916666666667
22.61,0.59296875,0.428125
22.71,0.6453125,0.421875
22.81,0.6453125,0.421875
22.91,0.5859375,0.42916666666666664
23.01,0.49375,0.4239583333333333
23.11,0.384375,0.4
23.21,0.3015625,0.3770833333333333
23.31,0.2625,0.3572916666666667
23.41,0.26640625,0.3614583333333333
23.51,0.32265625,0.3802083333333333
23.61,0.421875,0.4083333333333333
23.71,0.5359375,0.4239583333333333
23.81,0.63203125,0.428125
23.91,0.6796875,0.42083333333333334
24.01,0.66171875,0.42291666666666666
24.11,0.58984375,0.4239583333333333
24.21,0.47421875,0.42083333333333334
24.31,0.365625,0.3958333333333333
24.41,0.2796875,0.365625
24.51,0.2453125,0.34479166666666666
24.61,0.2515625,0.3458333333333333
24.71,0.3109375,0.3645833333333333
24.81,0.4140625,0.4041666666666667
24.91,0.52890625,0.42291666666666666
25.01,0.6203125,0.4270833333333333
