t_s,x,y
0.01,0.41796875,0.41770833333333335
0.11,0.3140625,0.3885416666666667
0.21,0.2859375,0.371875
0.31,0.31171875,0.3770833333333333
0.41,0.3859375,0.3927083333333333
0.51,0.49765625,0.4010416666666667
0.61,0.6234375,0.41875
0.71,0.7328125,0.41354166666666664
0.81,0.80703125,0.421875
0.91,0.82421875,0.42291666666666666
1.01,0.778125,0.45729166666666665
1.11,0.6578125,0.4791666666666667
1.21,0.50234375,0.4635416666666667
1.31,0.35703125,0.44895833333333335
1.41,0.27421875,0.4354166666666667
1.51,0.2484375,0.41770833333333335
1.61,0.28046875,0.42916666666666664
1.71,0.35625,0.44583333333333336
1.81,0.4609375,0.4635416666666667
1.91,0.5828125,0.48125
2.01,0.6828125,0.48854166666666665
2.11,0.74375,0.4791666666666667
2.21,0.753125,0.478125
2.31,0.6984375,0.48854166666666665
2.41,0.5875,0.4864583333333333
2.51,0.453125,0.47708333333333336
2.61,0.32109375,0.45625
2.71,0.2390625,0.4166666666666667
2.81,0.21015625,0.40208333333333335
2.91,0.23984375,0.41875
3.01,0.325,0.43854166666666666
3.11,0.45078125,0.45729166666666665
3.21,0.5875,0.46875
3.31,0.69296875,0.465625
3.41,0.74609375,0.45208333333333334
3.51,0.73828125,0.459375
3.61,0.67109375,0.4635416666666667
3.71,0.559375,0.465625
3.81,0.41171875,0.45625
3.91,0.2859375,0.42291666666666666
4.01,0.2015625,0.40208333333333335
4.11,0.18203125,0.38958333333333334
4.21,0.225,0.415625
4.31,0.3203125,0.45625
4.41,0.46484375,0.49375
4.51,0.62890625,0.5010416666666667
4.61,0.75234375,0.48333333333333334
4.71,0.80859375,0.44895833333333335
4.81,0.8078125,0.43645833333333334
4.91,0.73828125,0.4635416666666667
5.01,0.59765625,0.48333333333333334
5.11,0.428125,0.459375
5.21,0.28515625,0.425
5.31,0.1984375,0.390625
5.41,0.18515625,0.384375
5.51,0.23671875,0.41041666666666665
5.61,0.34296875,0.4375
5.71,0.48984375,0.47291666666666665
5.81,0.6328125,0.478125
5.91,0.74140625,0.4666666666666667
6.01,0.7875,0.44166666666666665
6.11,0.77421875,0.4427083333333333
6.21,0.69609375,0.4479166666666667
6.31,0.55546875,0.4479166666666667
6.41,0.3859375,0.4395833333333333
6.51,0.2578125,0.39895833333333336
6.61,0.19140625,0.3645833333333333
6.71,0.19140625,0.359375
6.81,0.25859375,0.396875
6.91,0.371875,0.43020833333333336
7.01,0.51640625,0.46458333333333335
7.11,0.6484375,0.46770833333333334
7.21,0.7390625,0.45625
7.31,0.77265625,0.4427083333333333
