set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
development,small_01,pendulum,snn_phasemap,centroid,as_is,0.025,26.97914998442268,9.445213226806302,inf,26.93743426743417,25.358311628222122,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,removed,0.025,9.360792204710487,7.130770445746942,24.875,10.925258061735171,8.852935805757733,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,as_is,0.05,26.88182123204202,9.282984899473934,inf,26.93743426743417,25.358311628222122,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,removed,0.05,10.123592379849548,8.277154884198666,24.875,10.925258061735171,8.852935805757733,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,as_is,0.1,27.190930655328202,9.973263302612516,inf,26.93743426743417,25.358311628222122,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,removed,0.1,11.7973715921014,10.483642924893164,24.810000000000002,10.925258061735171,8.852935805757733,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,as_is,0.2,29.390703780314517,13.290913452901911,inf,26.93743426743417,25.358311628222122,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,snn_phasemap,centroid,removed,0.2,14.475994729467029,11.799939507333155,24.79,10.925258061735171,8.852935805757733,0.9824947545289231,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,as_is,0.025,26.944992905915328,7.726723615061193,inf,27.613011513121386,24.128907828283747,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,removed,0.025,7.4951372639844065,5.683068669555799,24.69,9.324595138563367,6.738895727605845,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,as_is,0.05,27.464128469301876,7.680655282964583,inf,27.613011513121386,24.128907828283747,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,removed,0.05,8.532577151383997,7.126759600420389,24.755,9.324595138563367,6.738895727605845,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,as_is,0.1,28.24932457485952,9.074319768497642,inf,27.613011513121386,24.128907828283747,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,removed,0.1,10.364441221790239,8.548620380289993,24.755,9.324595138563367,6.738895727605845,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,as_is,0.2,29.51674509300348,10.960024616317533,inf,27.613011513121386,24.128907828283747,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,phasemap,centroid,removed,0.2,13.002350406376241,12.698363034045137,24.695,9.324595138563367,6.738895727605845,0.9986744353133321,nan,nan,0.0,5006,0.0
development,small_01,pendulum,kalman,centroid,as_is,0.025,27.1304048325615,9.503825222290672,inf,26.20086502279011,24.56786595714759,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,removed,0.025,7.872764454706623,6.2364042503717005,24.575,11.81002349285048,7.248482000845385,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,as_is,0.05,27.377662116977728,10.803754288898531,inf,26.20086502279011,24.56786595714759,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,removed,0.05,8.969395948473174,7.193533941193589,24.57,11.81002349285048,7.248482000845385,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,as_is,0.1,27.103870455857717,13.845279065894946,inf,26.20086502279011,24.56786595714759,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,removed,0.1,11.80757043261789,8.75949035700928,24.740000000000002,11.81002349285048,7.248482000845385,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,as_is,0.2,25.328478565506256,12.471106117489175,inf,26.20086502279011,24.56786595714759,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,kalman,centroid,removed,0.2,13.909670588605472,8.958728508171113,24.635,11.81002349285048,7.248482000845385,1.0098620915032512,nan,nan,67.11945665201901,5006,0.0
development,small_01,pendulum,harmonic,centroid,as_is,0.025,28.737553314483684,11.754143953269157,inf,26.354245675410276,22.20253555275265,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,removed,0.025,14.176185426465292,9.264218151392173,24.69,10.113713482155848,7.80491812310979,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,as_is,0.05,29.101533485545417,11.851871455759419,inf,26.354245675410276,22.20253555275265,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,removed,0.05,14.897085731414151,9.734708034375043,24.665,10.113713482155848,7.80491812310979,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,as_is,0.1,29.652433446716078,12.509221902648886,inf,26.354245675410276,22.20253555275265,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,removed,0.1,15.740648838740174,10.647463425361448,24.62,10.113713482155848,7.80491812310979,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,as_is,0.2,30.072758491663503,12.876436188216111,inf,26.354245675410276,22.20253555275265,1.0098620915032512,nan,nan,0.0,5006,0.0
development,small_01,pendulum,harmonic,centroid,removed,0.2,16.175676864929834,11.190470621493894,24.525000000000002,10.113713482155848,7.80491812310979,1.0098620915032512,nan,nan,0.0,5006,0.0
