set,clip,setup,memory,input,offset,horizon_s,fde_px,fde_iqr_px,lock_on_s,path_median_px,path_last_px,period_ratio,auc,latency_s,fp_per_min,n_steps,unseen_fraction
held_out,small_03,pendulum,snn_phasemap,centroid,as_is,0.025,94.74799101243117,17.33904694389517,inf,91.12685677287031,90.47411380635471,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,removed,0.025,14.782795508191782,9.039018469485793,inf,9.880470315354641,13.785010103487775,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,as_is,0.05,94.83464500789043,16.840967736019408,inf,91.12685677287031,90.47411380635471,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,removed,0.05,15.15218424921256,9.873964802144194,inf,9.880470315354641,13.785010103487775,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,as_is,0.1,95.37906070316316,15.47603659596247,inf,91.12685677287031,90.47411380635471,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,removed,0.1,15.989271842565996,10.709550263356213,inf,9.880470315354641,13.785010103487775,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,as_is,0.2,96.31745512532204,15.300220860558213,inf,91.12685677287031,90.47411380635471,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,snn_phasemap,centroid,removed,0.2,16.189764838280126,12.198776606482062,24.755,9.880470315354641,13.785010103487775,0.9880475761255191,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,as_is,0.025,94.72725178705785,14.082212607546282,inf,91.72668016806108,91.36455097382,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,removed,0.025,12.44656321157455,8.297320982367541,inf,12.063067445331345,14.713242477480012,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,as_is,0.05,94.24688091936727,12.750548457937626,inf,91.72668016806108,91.36455097382,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,removed,0.05,12.206527702622264,9.056602522079613,inf,12.063067445331345,14.713242477480012,1.003442385299897,nan,nan,0.0,5004,0.0
held_out,small_03,pendulum,phasemap,centroid,as_is,0.1,94.66143053216166,12.612097240313673,inf,91.72668016806108,91.36455097382,1.003442385299897,nan,nan,0.0,5004,0.0
